time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010444850000	10.172	1.3428	5.12837	0.224983	0.196033	radar	4.80254	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841
1477010444900000	10.392	1.42375	5.0838	0.247491	0.212442	lidar	1.18293	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701
1477010444950000	10.6213	1.50251	4.87184	0.268651	0.227378	radar	2.68211	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298
1477010445000000	10.8375	1.53314	4.82506	0.264661	0.208319	lidar	1.0005	10.7313	1.45265	10.853	1.56549	4.90794	1.39701
1477010445050000	11.1077	1.58569	5.01971	0.264701	0.193898	radar	2.53295	11.4783	1.42876	11.0979	1.637	4.8844	1.46213
1477010445100000	11.389	1.63486	5.08074	0.262313	0.178279	lidar	2.12684	11.587	1.61462	11.3416	1.71179	4.85948	1.52832
1477010445150000	11.6187	1.68939	4.98838	0.267311	0.173825	radar	0.604593	11.4763	1.53917	11.584	1.78992	4.83313	1.59551
1477010445200000	11.8456	1.75473	4.96519	0.276543	0.174588	lidar	0.241032	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366
1477010445250000	12.1052	1.8479	5.15389	0.293453	0.18378	radar	1.50378	12.136	2.14937	12.0647	1.95639	4.77598	1.73273
1477010445300000	12.35	1.87729	5.12659	0.280637	0.156062	lidar	0.617892	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265
1477010445350000	12.6076	1.94078	5.2378	0.282162	0.147291	radar	0.594316	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338
1477010445400000	12.8099	2.07695	5.18934	0.32459	0.191467	lidar	3.27067	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485
1477010445450000	13.0797	2.19207	5.37688	0.344549	0.202988	radar	2.50816	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701
1477010445500000	13.2873	2.33452	5.33301	0.383679	0.239419	lidar	2.5673	13.0875	2.40708	13.2388	2.43409	4.605	2.08981
1477010445550000	13.4599	2.47631	4.98744	0.428335	0.285009	radar	10.9711	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317
1477010445600000	13.7092	2.59149	5.03464	0.444084	0.286818	lidar	0.912171	13.836	2.62479	13.6955	2.65053	4.52448	2.23703
1477010445650000	13.9285	2.70308	5.01036	0.460578	0.289806	radar	0.121304	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134
1477010445700000	14.1571	2.85767	5.05495	0.493282	0.312382	lidar	0.612914	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601
1477010445750000	14.4091	2.97647	5.25827	0.499158	0.296688	radar	1.28596	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099
1477010445800000	14.6162	3.04197	5.16306	0.489828	0.266757	lidar	2.39143	14.4616	2.90734	14.583	3.12802	4.34097	2.5362
1477010445850000	14.848	3.20549	5.29531	0.518643	0.284356	radar	3.31485	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157
1477010445900000	15.061	3.39967	5.33196	0.562618	0.321294	lidar	0.879426	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703
1477010445950000	15.2697	3.56844	5.20675	0.595955	0.346537	radar	2.64501	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249
1477010446000000	15.4852	3.75453	5.25199	0.629365	0.366488	lidar	0.444442	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789
1477010446050000	15.6951	3.88908	5.21252	0.638896	0.355932	radar	1.08093	15.7234	3.4105	15.6355	3.80957	4.06678	2.91315
1477010446100000	15.9175	4.02667	5.21089	0.645457	0.342064	lidar	0.251907	15.9774	4.00094	15.8375	3.95719	4.00571	2.98817
1477010446150000	16.1125	4.18173	5.05101	0.667808	0.352929	radar	1.37551	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629
1477010446200000	16.3076	4.37583	5.0955	0.700531	0.371638	lidar	0.346924	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723
1477010446250000	16.5188	4.5418	5.17146	0.713326	0.362793	radar	0.721695	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109
1477010446300000	16.6954	4.70445	5.13666	0.732006	0.363305	lidar	0.49463	16.6039	4.67344	16.613	4.5849	3.74	3.28438
1477010446350000	16.85	4.87645	4.84242	0.766555	0.392712	radar	2.98082	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704
1477010446400000	17.0087	5.10513	4.90937	0.812724	0.425533	lidar	0.791944	16.9955	5.21099	16.9799	4.92077	3.59416	3.42897
1477010446450000	17.182	5.26307	4.89137	0.82344	0.412148	radar	1.45336	17.3421	4.64623	17.1579	5.09409	3.51797	3.50008
1477010446500000	17.3363	5.44416	4.87944	0.846533	0.415101	lidar	0.121	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028
1477010446550000	17.4962	5.59739	4.80422	0.856459	0.402745	radar	2.67264	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949
1477010446600000	17.6839	5.71887	4.74459	0.844617	0.363586	lidar	1.25518	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762
1477010446650000	17.8332	5.899	4.66806	0.867893	0.372774	radar	0.503169	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458
1477010446700000	18.0023	6.10136	4.7298	0.889198	0.376553	lidar	1.07383	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027
1477010446750000	18.1564	6.30471	4.80867	0.910981	0.378613	radar	0.968142	18.1245	6.79027	18.1402	6.20641	3.01542	3.90462
1477010446800000	18.2759	6.55789	4.88453	0.960047	0.415557	lidar	0.985684	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753
1477010446850000	18.4105	6.76641	4.87018	0.98555	0.422734	radar	0.278239	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289
1477010446900000	18.5561	6.8983	4.75489	0.97721	0.386445	lidar	1.29282	18.5422	6.76013	18.572	6.80638	2.7356	4.08867
1477010446950000	18.7073	7.10816	4.89568	0.989136	0.372635	radar	0.780109	18.8089	7.24388	18.7064	7.01237	2.63825	4.14672
1477010447000000	18.905	7.24797	4.83969	0.964412	0.320512	lidar	3.61278	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299
1477010447050000	18.998	7.43143	4.6124	0.996033	0.346338	radar	3.49684	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737
1477010447100000	19.0839	7.71663	4.74307	1.05559	0.397917	lidar	1.97758	19.0138	7.8688	19.0798	7.64712	2.3345	4.3098
1477010447150000	19.2077	7.91972	4.78395	1.0687	0.387259	radar	0.276861	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017
1477010447200000	19.2847	8.14347	4.77803	1.10428	0.406195	lidar	1.27855	19.132	8.12845	19.3028	8.08329	2.12266	4.40842
1477010447250000	19.3847	8.3538	4.83465	1.12103	0.397044	radar	2.10387	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445
